#{"t_start": 1669935032.9009788, "env_id": null}
r,l,t
-4,973,816.961849
-5,576,817.506848
-1,781,818.258736
1,1070,819.269526
-5,433,819.652927
-2,768,820.353443
2,957,821.249253
-3,767,821.968493
-2,808,822.689162
-2,726,823.341415
1,969,824.245011
-1,767,824.922679
-3,713,825.60836
-5,423,826.000304
-1,961,826.915355
2,830,827.729169
-2,746,828.421793
-2,719,829.183901
-2,785,829.922003
-1,874,830.731228
-2,726,831.41041
-3,544,831.907596
1,760,832.59775
-2,755,833.292892
-1,730,833.965358
-1,828,834.741175
-3,534,835.256217
-1,814,836.028078
2,718,836.671942
-4,527,837.156373
2,814,837.902541
-4,573,838.440689
-1,942,839.271317
-5,440,839.657285
-1,789,840.357413
-2,657,840.958304
-3,656,841.611114
-4,535,842.155764
-1,849,842.9277
-1,1053,843.923297
1,830,844.771259
2,747,845.510485
-2,710,846.173778
-5,430,846.558749
1,1105,847.433824
-3,642,847.891783
-1,907,848.537662
-2,846,849.147979
1,889,849.789279
1,955,850.482858
1,971,851.171006
-3,968,851.838066
-3,788,852.382242
-5,401,852.666505
-4,624,853.132593
-3,663,853.646147
-3,708,854.153258
-4,632,854.598876
-3,805,855.200803
-3,838,855.788273
-4,685,856.28136
-4,700,856.78266
-1,881,857.421102
-1,782,857.976896
1,828,858.572197
-2,1006,859.333234
-3,768,859.886654
3,670,860.381552
-2,938,861.057742
-5,415,861.362927
-4,939,862.018267
-4,709,862.529166
1,1040,863.27087
-4,639,863.711595
-5,606,864.146405
-5,419,864.449304
-4,604,864.882282
-4,660,865.352947
-3,632,865.806857
1,882,866.443646
-4,675,866.902806
-2,745,867.459936
1,1306,868.406651
-2,838,868.991591
-4,632,869.444835
3,997,870.182493
-1,1090,870.963843
1,1014,871.687891
-3,1072,872.467682
-5,988,873.176674
-3,710,873.666804
-3,637,874.114785
-5,576,874.504744
-2,787,875.033329
-4,549,875.414311
-3,723,875.954355
-4,466,876.290974
-1,967,877.034484
-5,433,877.363594
-3,805,877.923493
3,618,878.378068
-4,512,878.746112
1,1061,879.520156
1,1087,880.308065
1,925,880.960875
-5,443,881.270022
-4,756,881.826224
-4,702,882.323344
-1,1236,883.197475
