explained_variance,total_timesteps,fps,policy_entropy,nupdates,value_loss,ep_reward_mean,ep_len_mean
-0.04484963417053223,420500,680,2.064866781234741,84100,0.00016984023386612535,-2.12,729.72
-8.609092712402344,421000,680,2.052062511444092,84200,0.002576564671471715,-2.12,729.72
-0.07671201229095459,421500,680,2.0407278537750244,84300,0.0003355485387146473,-2.15,731.09
-65.6449203491211,422000,680,2.060183048248291,84400,0.00012869351485278457,-2.22,727.47
-0.442219614982605,422500,680,2.0700602531433105,84500,0.0001238257682416588,-2.31,726.43
-6.408135890960693,423000,681,2.058931350708008,84600,0.002082618186250329,-2.3,726.53
-31.590560913085938,423500,681,2.0699381828308105,84700,0.00012536189751699567,-2.3,726.53
0.7317390739917755,424000,681,2.0516726970672607,84800,5.8246765547664836e-05,-2.29,724.72
0.9880878143012524,424500,681,2.0453944206237793,84900,2.628753236422199e-06,-2.29,723.09
-1.9647126197814941,425000,682,2.0701498985290527,85000,0.0010236651869490743,-2.3,720.86
-3.450042724609375,425500,682,2.0652413368225098,85100,8.357052138308063e-05,-2.3,720.86
0.3535587191581726,426000,682,2.063258647918701,85200,0.0001142903565778397,-2.24,720.44
-2.0029213428497314,426500,682,2.071338176727295,85300,1.1195124898222275e-05,-2.23,719.51
-75.93302917480469,427000,683,2.0684237480163574,85400,0.0017255896236747503,-2.23,719.51
-39.865928649902344,427500,683,2.076860189437866,85500,0.0009637263719923794,-2.19,724.01
0.9647093340754509,428000,683,2.0743021965026855,85600,0.012168500572443008,-2.16,726.6
-4.546337127685547,428500,683,2.076343059539795,85700,0.00012886940385214984,-2.16,726.6
-27.832012176513672,429000,684,2.063537836074829,85800,0.0009448442724533379,-2.19,726.56
0.2673531770706177,429500,684,2.0718274116516113,85900,1.3163368748791981e-05,-2.19,727.08
-116.24222564697266,430000,684,2.0642528533935547,86000,0.0011003054678440094,-2.19,727.08
-19.578292846679688,430500,684,2.069751262664795,86100,0.0012372472556307912,-2.26,725.69
0.8196242302656174,431000,685,2.074098587036133,86200,1.4664115951745771e-05,-2.26,725.69
0.7571534961462021,431500,685,2.0757031440734863,86300,3.35640725097619e-05,-2.25,726.09
-1.6596565246582031,432000,685,2.0578207969665527,86400,0.0002722693607211113,-2.25,725.97
-0.6395782232284546,432500,686,2.059992551803589,86500,0.00025556341279298067,-2.25,725.97
0.8937705010175705,433000,686,2.0723752975463867,86600,2.8017937438562512e-05,-2.22,729.29
-31.752613067626953,433500,686,2.067234516143799,86700,0.0003015746478922665,-2.19,732.37
-0.43224036693573,434000,686,2.0594239234924316,86800,0.0021013047080487013,-2.19,732.37
-1.3722598552703857,434500,687,2.073404550552368,86900,0.0007950839353725314,-2.21,730.39
-8.237588882446289,435000,687,2.0585639476776123,87000,0.00011320789053570479,-2.21,730.29
-364.2524108886719,435500,687,2.0399560928344727,87100,0.0011358765186741948,-2.21,730.29
-0.688910961151123,436000,687,2.07452130317688,87200,1.606510159035679e-05,-2.2,734.49
0.8507983535528183,436500,688,2.069183826446533,87300,4.8436289944220334e-05,-2.2,734.49
0.7844291478395462,437000,688,2.0700385570526123,87400,0.00012040448928019032,-2.2,734.98
-2183.26025390625,437500,688,2.0270843505859375,87500,0.11465083062648773,-2.21,732.98
-0.6077378988265991,438000,688,2.0280709266662598,87600,3.055284469155595e-05,-2.24,730.4
0.8841790556907654,438500,689,2.052405834197998,87700,0.00020366146054584533,-2.24,730.4
-3.8496828079223633,439000,689,2.075080394744873,87800,0.000572246324736625,-2.27,729.57
-10.830221176147461,439500,689,2.0257532596588135,87900,0.0006105936481617391,-2.27,729.57
0.7808733135461807,440000,689,2.0594959259033203,88000,0.000260676461039111,-2.29,732.53
-9.032299995422363,440500,690,2.0660812854766846,88100,3.431262302910909e-05,-2.3,731.61
0.08759266138076782,441000,690,2.0568013191223145,88200,0.00016341653827112168,-2.29,729.64
-1.3234803676605225,441500,690,2.0564827919006348,88300,0.00018986071518156677,-2.28,730.82
0.5355687737464905,442000,690,2.0586466789245605,88400,7.100278162397444e-05,-2.28,730.82
-0.1853499412536621,442500,691,2.072242021560669,88500,0.0005397967761382461,-2.31,730.25
-1.6543540954589844,443000,691,2.06233286857605,88600,0.0001452180731575936,-2.32,730.98
-519.8807983398438,443500,691,2.0668933391571045,88700,0.06259222328662872,-2.32,730.98
-3.0552520751953125,444000,691,2.056873321533203,88800,7.758510764688253e-05,-2.33,730.09
