EpLenMean,EpRewMean,TimeElapsed,EpThisIter,loss_vf_loss,EpisodesSoFar,TimestepsSoFar,loss_ent,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,loss_kl
655.71,-2.87,277.184996843338,7,0.017644892,509,335872,1.3918848,0.0,0.8587687164545059,-0.017413678,0.0058215642
650.15,-2.83,279.3659973144531,7,0.02450443,516,339968,1.407783,0.0,0.8395354151725769,-0.018699175,0.0068235477
649.94,-2.77,281.75799465179443,6,0.022378923,522,344064,1.375815,0.0,0.8538440614938736,-0.01746945,0.006985916
646.22,-2.76,284.0319950580597,6,0.024086513,528,348160,1.3403382,0.0,0.8395221680402756,-0.018642236,0.005766801
646.08,-2.78,286.52999544143677,6,0.022180097,534,352256,1.320219,0.0,0.8716746866703033,-0.014367431,0.0044327667
648.88,-2.75,289.13899636268616,7,0.022694556,541,356352,1.3207779,0.0,0.8679450005292892,-0.01867986,0.006418604
646.06,-2.71,291.63299679756165,7,0.02156151,548,360448,1.3615035,0.0,0.8707242906093597,-0.017277312,0.0071111755
645.33,-2.64,294.01999735832214,6,0.021272937,554,364544,1.2953185,0.0,0.8858842775225639,-0.017277041,0.005202027
633.44,-2.62,296.16899514198303,7,0.021009715,561,368640,1.357022,0.0,0.8429804146289825,-0.018531801,0.0071848487
632.4,-2.61,298.5332214832306,6,0.025776163,567,372736,1.3239051,0.0,0.8185112625360489,-0.01970116,0.007515947
636.88,-2.5,300.5252206325531,6,0.021906976,573,376832,1.3659569,0.0,0.8119657635688782,-0.020296222,0.006072486
643.39,-2.58,302.57622170448303,6,0.020549413,579,380928,1.3619121,0.0,0.7908708155155182,-0.016998127,0.0063225385
637.81,-2.61,304.85022044181824,7,0.023137504,586,385024,1.3354996,0.0,0.828034833073616,-0.020497002,0.0063021015
640.82,-2.64,307.1834759712219,6,0.021530187,592,389120,1.3124282,0.0,0.7912319004535675,-0.017065743,0.0044906707
638.21,-2.66,309.39111399650574,6,0.022525117,598,393216,1.3506145,0.0,0.8478901833295822,-0.020334825,0.0056941807
